team,year,touchdown,field_goal,missed_fg,punt,turnovers,safety,total,end_of_period,blocked_punt,downs,blocked_fg,playoff
ARI,2009,43,18,1,86,36,0,199,15,0,0,0,1
ATL,2009,41,19,10,63,25,0,170,11,1,0,0,0
BAL,2009,43,21,9,74,22,0,183,13,1,0,0,1
BUF,2009,23,28,5,90,30,0,188,12,0,0,0,0
CAR,2009,34,22,5,77,31,2,193,21,1,0,0,0
CHI,2009,33,24,4,77,34,1,193,20,0,0,0,0
CIN,2009,30,23,5,86,25,0,177,8,0,0,0,1
CLE,2009,21,23,2,94,31,1,189,17,0,0,0,0
DAL,2009,40,20,11,72,19,0,179,17,0,0,0,1
DEN,2009,30,30,5,78,23,0,189,23,0,0,0,0
DET,2009,25,21,7,74,41,2,194,24,0,0,0,0
GB,2009,50,27,9,67,16,1,191,20,1,0,0,1
HOU,2009,42,21,11,67,28,2,187,16,0,0,0,0
IND,2009,50,16,4,64,24,0,174,16,0,0,0,1
JAX,2009,34,18,10,72,23,0,176,19,0,0,0,0
KC,2009,26,25,4,97,27,1,202,21,1,0,0,0
LV,2009,17,26,3,96,33,0,194,19,0,0,0,0
LAC,2009,46,32,3,52,17,1,170,19,0,0,0,1
LAR,2009,16,19,5,90,33,0,181,18,0,0,0,0
MIA,2009,37,25,3,75,29,0,181,12,0,0,0,0
MIN,2009,53,26,2,73,18,1,188,15,0,0,0,1
NE,2009,47,26,5,57,22,0,178,20,1,0,0,1
NO,2009,55,22,6,58,28,0,185,16,0,0,0,1
NYG,2009,42,27,5,64,31,0,183,14,0,0,0,0
NYJ,2009,33,30,6,80,30,0,198,19,0,0,0,1
PHI,2009,41,32,5,76,23,2,192,13,0,0,0,1
PIT,2009,38,27,4,72,25,0,183,17,0,0,0,0
SF,2009,35,19,5,99,24,0,196,14,0,0,0,0
SEA,2009,27,24,2,89,31,0,194,21,0,0,0,0
TB,2009,23,16,10,87,34,0,194,24,0,0,0,0
TEN,2009,35,27,5,69,31,0,187,20,0,0,0,0
WAS,2009,29,22,3,76,28,0,172,14,0,0,0,0
ARI,2010,19,24,3,94,35,0,190,15,0,0,0,0
ATL,2010,42,28,3,75,17,0,178,12,1,0,0,1
BAL,2010,36,26,3,81,20,0,189,23,0,0,0,1
BUF,2010,30,16,5,75,39,0,182,17,0,0,0,0
CAR,2010,16,25,4,95,37,1,197,19,0,0,0,0
CHI,2010,33,25,5,83,31,0,198,21,0,0,0,1
CIN,2010,34,24,7,72,34,0,190,18,1,0,0,0
CLE,2010,26,23,5,78,29,0,177,16,0,0,0,0
DAL,2010,39,24,8,66,30,0,182,14,1,0,0,0
DEN,2010,38,22,3,86,27,0,196,20,0,0,0,0
DET,2010,37,25,5,90,25,1,193,10,0,0,0,0
GB,2010,42,22,6,71,22,0,183,20,0,0,0,1
HOU,2010,44,27,3,63,18,0,179,24,0,0,0,0
IND,2010,46,26,2,69,25,0,179,11,0,0,0,1
JAX,2010,40,22,6,57,33,0,177,19,0,0,0,0
KC,2010,40,20,6,90,14,0,192,21,1,0,0,1
LV,2010,37,33,8,78,26,2,203,19,0,0,0,0
LAC,2010,48,27,6,56,29,1,186,15,4,0,0,0
LAR,2010,27,33,6,94,21,1,199,17,0,0,0,0
MIA,2010,25,30,11,75,31,1,185,10,2,0,0,0
MIN,2010,30,17,1,83,37,0,189,21,0,0,0,0
NE,2010,56,22,3,58,10,0,166,17,0,0,0,1
NO,2010,42,25,6,57,31,1,174,12,0,0,0,1
NYG,2010,48,19,4,73,42,0,207,20,1,0,0,0
NYJ,2010,34,30,9,84,21,2,199,19,0,0,0,1
PHI,2010,46,32,6,73,25,0,196,14,0,0,0,1
PIT,2010,37,29,8,74,18,0,179,13,0,0,0,1
SF,2010,29,22,5,91,23,0,190,20,0,0,0,0
SEA,2010,27,25,5,78,31,1,196,29,0,0,0,1
TB,2010,35,23,5,76,19,0,172,14,0,0,0,0
TEN,2010,37,24,2,77,29,2,184,13,0,0,0,0
WAS,2010,30,24,11,94,31,0,205,13,2,0,0,0
ARI,2011,33,19,5,92,32,0,199,18,0,0,0,0
ATL,2011,43,27,2,71,21,0,187,22,1,0,0,1
BAL,2011,36,30,9,73,24,0,186,14,0,0,0,1
BUF,2011,36,23,8,73,30,1,189,17,1,0,0,0
CAR,2011,47,22,6,66,23,2,179,13,0,0,0,0
CHI,2011,28,28,4,89,29,1,199,20,0,0,0,0
CIN,2011,31,33,5,91,22,1,197,14,0,0,0,1
CLE,2011,20,24,5,89,19,0,180,23,0,0,0,0
DAL,2011,38,32,5,71,21,0,185,17,1,0,0,0
DEN,2011,31,19,6,101,30,0,204,17,0,0,0,1
DET,2011,50,24,5,82,23,1,197,12,0,0,0,1
GB,2011,63,24,4,55,14,0,180,20,0,0,0,1
HOU,2011,38,32,6,74,20,0,191,21,0,0,0,1
IND,2011,22,23,4,89,29,0,186,18,1,0,0,0
JAX,2011,21,23,2,99,23,0,194,26,0,0,0,0
KC,2011,18,24,6,89,28,0,189,24,0,0,0,0
LV,2011,36,31,4,78,30,1,193,13,0,0,0,0
